time,eptot,ektot,etot,temp,pres,volume,density,rmsd
0.0,-151567.452,0.0,-151567.452,0.0,0.0,,,0.0
1.0,-116507.7233,14306.2443,-102201.479,188.22,0.0,,,0.0
2.0,-109896.2503,19188.8145,-90707.4358,252.46,0.0,,,0.0
3.0,-106539.7357,20869.3637,-85670.3721,274.57,0.0,,,0.0
4.0,-104828.4955,21984.7982,-82843.6972,289.24,0.0,,,0.0
5.0,-103820.2384,22366.3198,-81453.9186,294.26,0.0,,,0.0
6.0,-103563.1319,22579.5067,-80983.6252,297.07,0.0,,,0.0
7.0,-103216.2229,22770.0118,-80446.211,299.57,0.0,,,0.0
8.0,-103014.0044,22727.0101,-80286.9943,299.01,0.0,,,0.0
9.0,-103060.7395,22683.859,-80376.8805,298.44,0.0,,,0.0
10.0,-103536.5259,22879.5661,-80656.9598,301.01,0.0,,,0.0
11.0,-103201.4525,22775.3671,-80426.0854,299.64,0.0,,,0.0
12.0,-103375.684,22873.1755,-80502.5086,300.93,0.0,,,0.0
13.0,-103192.6375,22768.7817,-80423.8558,299.56,0.0,,,0.0
14.0,-103237.8672,22923.2483,-80314.6189,301.59,0.0,,,0.0
15.0,-103435.9364,22800.1552,-80635.7811,299.97,0.0,,,0.0
16.0,-103332.1013,22871.9854,-80460.1159,300.92,0.0,,,0.0
17.0,-103607.0384,22886.7159,-80720.3225,301.11,0.0,,,0.0
18.0,-103554.5959,22648.4782,-80906.1178,297.97,0.0,,,0.0
19.0,-103648.4999,22792.4303,-80856.0697,299.87,0.0,,,0.0
20.0,-103609.7484,22919.72,-80690.0284,301.54,0.0,,,0.0
21.0,-103394.6577,22733.4484,-80661.2093,299.09,0.0,,,0.0
22.0,-103607.6467,22814.6025,-80793.0442,300.16,0.0,,,0.0
23.0,-103638.2293,22767.3597,-80870.8696,299.54,0.0,,,0.0
24.0,-103481.267,23008.3036,-80472.9634,302.71,0.0,,,0.0
25.0,-103478.0671,22869.3046,-80608.7624,300.88,0.0,,,0.0
26.0,-103487.5791,22768.0902,-80719.4889,299.55,0.0,,,0.0
27.0,-103729.9358,22789.3936,-80940.5423,299.83,0.0,,,0.0
28.0,-103777.8006,22728.9981,-81048.8025,299.03,0.0,,,0.0
